GID_3,Division Name,Zila Name,Upazila Name,Zila Correction,Upazila Correction
BGD.5.7.9_1,RAJSHAHI,RAJSHAHI,PABA,,
BGD.5.6.7_1,RAJSHAHI,PABNA,PABNA SADAR,,
BGD.5.2.5_1,RAJSHAHI,JOYPURHAT,PANCHBIBI,,
BGD.5.3.8_1,RAJSHAHI,NAOGAON,PATNITALA,,
BGD.5.3.9_1,RAJSHAHI,NAOGAON,PORSHA,,
BGD.5.7.10_1,RAJSHAHI,RAJSHAHI,PUTHIA,,
BGD.5.7.11_1,RAJSHAHI,RAJSHAHI,RAJPARA,,
BGD.5.3.10_1,RAJSHAHI,NAOGAON,RANINAGAR,,
BGD.5.8.5_1,RAJSHAHI,SIRAJGANJ,ROYGANJ,,
BGD.5.6.8_1,RAJSHAHI,PABNA,SANTHIA,,
BGD.5.3.11_1,RAJSHAHI,NAOGAON,SAPAHAR,,
BGD.5.1.8_1,RAJSHAHI,BOGRA,SARIAKANDI,,
BGD.5.7.12_1,RAJSHAHI,RAJSHAHI,SHAH MAKHDUM,,
BGD.5.8.6_1,RAJSHAHI,SIRAJGANJ,SHAHJADPUR,,
BGD.5.1.9_1,RAJSHAHI,BOGRA,SHAJAHANPUR,,
BGD.5.1.10_1,RAJSHAHI,BOGRA,SHERPUR,,
BGD.5.1.11_1,RAJSHAHI,BOGRA,SHIBGANJ,,
BGD.5.5.5_1,RAJSHAHI,CHAPAI NABABGANJ,SHIBGANJ,Nawabganj,
BGD.5.4.6_1,RAJSHAHI,NATORE,SINGRA,,
BGD.5.8.7_1,RAJSHAHI,SIRAJGANJ,SIRAJGANJ SADAR,,
BGD.5.1.12_1,RAJSHAHI,BOGRA,SONATOLA,,
BGD.5.6.9_1,RAJSHAHI,PABNA,SUJANAGAR,,
BGD.5.7.13_1,RAJSHAHI,RAJSHAHI,TANORE,,
BGD.5.8.8_1,RAJSHAHI,SIRAJGANJ,TARASH,,
BGD.5.8.9_1,RAJSHAHI,SIRAJGANJ,ULLAH PARA,,
BGD.6.4.1_1,RANGPUR,LALMONIRHAT,ADITMARI,,
BGD.6.6.1_1,RANGPUR,PANCHAGARH,ATWARI,,
BGD.6.7.1_1,RANGPUR,RANGPUR,BADARGANJ,,
BGD.6.8.1_1,RANGPUR,THAKURGAON,BALIADANGI,,
BGD.6.3.1_1,RANGPUR,KURIGRAM,BHURUNGAMARI,,
BGD.6.1.1_1,RANGPUR,DINAJPUR,BIRAL,,
BGD.6.1.2_1,RANGPUR,DINAJPUR,BIRAMPUR,,
BGD.6.1.3_1,RANGPUR,DINAJPUR,BIRGANJ,,
BGD.6.1.4_1,RANGPUR,DINAJPUR,BOCHAGANJ,,
BGD.6.6.2_1,RANGPUR,PANCHAGARH,BODA,,
BGD.6.3.2_1,RANGPUR,KURIGRAM,CHAR RAJIBPUR,,
BGD.6.3.3_1,RANGPUR,KURIGRAM,CHILMARI,,
BGD.6.1.5_1,RANGPUR,DINAJPUR,CHIRIRBANDAR,,
BGD.6.6.3_1,RANGPUR,PANCHAGARH,DEBIGANJ,,
BGD.6.5.1_1,RANGPUR,NILPHAMARI,DIMLA,,
BGD.6.1.6_1,RANGPUR,DINAJPUR,DINAJPUR SADAR,,
BGD.6.5.2_1,RANGPUR,NILPHAMARI,DOMAR,,
BGD.6.1.7_1,RANGPUR,DINAJPUR,FULBARI,,
BGD.6.2.1_1,RANGPUR,GAIBANDHA,FULCHHARI,,
BGD.6.2.2_1,RANGPUR,GAIBANDHA,GAIBANDHA SADAR,,
BGD.6.7.2_1,RANGPUR,RANGPUR,GANGACHARA,,
BGD.6.1.8_1,RANGPUR,DINAJPUR,GHORAGHAT,,
BGD.6.2.3_1,RANGPUR,GAIBANDHA,GOBINDAGANJ,,
BGD.6.1.9_1,RANGPUR,DINAJPUR,HAKIMPUR,,
BGD.6.8.2_1,RANGPUR,THAKURGAON,HARIPUR,,
BGD.6.4.2_1,RANGPUR,LALMONIRHAT,HATIBANDHA,,
BGD.6.5.3_1,RANGPUR,NILPHAMARI,JALDHAKA,,
BGD.6.1.10_1,RANGPUR,DINAJPUR,KAHAROLE,,
BGD.6.4.3_1,RANGPUR,LALMONIRHAT,KALIGANJ,,
BGD.6.7.3_1,RANGPUR,RANGPUR,KAUNIA,,
BGD.6.1.11_1,RANGPUR,DINAJPUR,KHANSAMA,,
BGD.6.5.4_1,RANGPUR,NILPHAMARI,KISHOREGANJ,,
BGD.6.3.4_1,RANGPUR,KURIGRAM,KURIGRAM SADAR,,
BGD.6.4.4_1,RANGPUR,LALMONIRHAT,LALMONIRHAT SADAR,,
BGD.6.7.4_1,RANGPUR,RANGPUR,MITHA PUKUR,,
BGD.6.3.5_1,RANGPUR,KURIGRAM,NAGESHWARI,,
BGD.6.1.12_1,RANGPUR,DINAJPUR,NAWABGANJ,,
BGD.6.5.5_1,RANGPUR,NILPHAMARI,NILPHAMARI SADAR,,
BGD.6.2.4_1,RANGPUR,GAIBANDHA,PALASHBARI,,
BGD.6.6.4_1,RANGPUR,PANCHAGARH,PANCHAGARH SADAR,,
BGD.6.1.13_1,RANGPUR,DINAJPUR,PARBATIPUR,,
BGD.6.4.5_1,RANGPUR,LALMONIRHAT,PATGRAM,,
BGD.6.3.6_1,RANGPUR,KURIGRAM,PHULBARI,,
BGD.6.7.5_1,RANGPUR,RANGPUR,PIRGACHHA,,
BGD.6.7.6_1,RANGPUR,RANGPUR,PIRGANJ,,
BGD.6.8.3_1,RANGPUR,THAKURGAON,PIRGANJ,,
BGD.6.3.7_1,RANGPUR,KURIGRAM,RAJARHAT,,
BGD.6.7.7_1,RANGPUR,RANGPUR,RANGPUR SADAR,,
BGD.6.8.4_1,RANGPUR,THAKURGAON,RANISANKAIL,,
BGD.6.3.8_1,RANGPUR,KURIGRAM,RAUMARI,,
BGD.6.2.5_1,RANGPUR,GAIBANDHA,SADULLAPUR,,
BGD.6.2.6_1,RANGPUR,GAIBANDHA,SAGHATA,,Saghatta
BGD.6.5.6_1,RANGPUR,NILPHAMARI,SAIDPUR,,
BGD.6.2.7_1,RANGPUR,GAIBANDHA,SUNDARGANJ,,
BGD.6.7.8_1,RANGPUR,RANGPUR,TARAGANJ,,
BGD.6.6.5_1,RANGPUR,PANCHAGARH,TENTULIA,,
BGD.6.8.5_1,RANGPUR,THAKURGAON,THAKURGAON SADAR,,
BGD.6.3.9_1,RANGPUR,KURIGRAM,ULIPUR,,
BGD.7.1.1_1,SYLHET,HABIGANJ,AJMIRIGANJ,,
BGD.7.1.2_1,SYLHET,HABIGANJ,BAHUBAL,,
BGD.7.4.1_1,SYLHET,SYLHET,BALAGANJ,,
BGD.7.1.3_1,SYLHET,HABIGANJ,BANIACHONG,,
BGD.7.2.1_1,SYLHET,MAULVIBAZAR,BARLEKHA,,
BGD.7.4.2_1,SYLHET,SYLHET,BEANI BAZAR,,
BGD.7.3.1_1,SYLHET,SUNAMGANJ,BISHWAMBARPUR,,
BGD.7.4.3_1,SYLHET,SYLHET,BISHWANATH,,
BGD.7.3.2_1,SYLHET,SUNAMGANJ,CHHATAK,,
BGD.7.1.4_1,SYLHET,HABIGANJ,CHUNARUGHAT,,
BGD.7.4.4_1,SYLHET,SYLHET,COMPANIGANJ,,
BGD.7.3.3_1,SYLHET,SUNAMGANJ,DAKSHIN SUNAMGANJ,,
BGD.7.4.5_1,SYLHET,SYLHET,DAKSHIN SURMA,,
BGD.7.3.4_1,SYLHET,SUNAMGANJ,DERAI,,
BGD.7.3.5_1,SYLHET,SUNAMGANJ,DHARAMPASHA,,
BGD.7.3.6_1,SYLHET,SUNAMGANJ,DOWARABAZAR,,
BGD.7.4.6_1,SYLHET,SYLHET,FENCHUGANJ,,
BGD.7.4.7_1,SYLHET,SYLHET,GOLAPGANJ,,Golabganj
BGD.7.4.8_1,SYLHET,SYLHET,GOWAINGHAT,,
BGD.7.1.5_1,SYLHET,HABIGANJ,HABIGANJ SADAR,,
BGD.7.3.7_1,SYLHET,SUNAMGANJ,JAGANNATHPUR,,
BGD.7.4.9_1,SYLHET,SYLHET,JAINTIAPUR,,
BGD.7.3.8_1,SYLHET,SUNAMGANJ,JAMALGANJ,,
BGD.7.2.2_1,SYLHET,MAULVIBAZAR,JURI,,
BGD.7.2.3_1,SYLHET,MAULVIBAZAR,KAMALGANJ,,
BGD.7.4.10_1,SYLHET,SYLHET,KANAIGHAT,,
BGD.7.2.4_1,SYLHET,MAULVIBAZAR,KULAURA,,
BGD.7.1.6_1,SYLHET,HABIGANJ,LAKHAI,,
BGD.7.1.7_1,SYLHET,HABIGANJ,MADHABPUR,,
BGD.7.2.5_1,SYLHET,MAULVIBAZAR,Maulvi Bazar Sadar,,Maulvi Bazar Sadar
BGD.7.1.8_1,SYLHET,HABIGANJ,NABIGANJ,,
BGD.7.2.6_1,SYLHET,MAULVIBAZAR,RAJNAGAR,,
BGD.7.2.7_1,SYLHET,MAULVIBAZAR,SREEMANGAL,,
BGD.7.3.9_1,SYLHET,SUNAMGANJ,SULLA,,
BGD.7.3.10_1,SYLHET,SUNAMGANJ,SUNAMGANJ SADAR,,
BGD.7.4.11_1,SYLHET,SYLHET,SYLHET SADAR,,
BGD.7.3.11_1,SYLHET,SUNAMGANJ,TAHIRPUR,,
BGD.7.4.12_1,SYLHET,SYLHET,ZAKIGANJ,,
